image_path,body_part,vitamin,multilabel
Eyes/vitamin_A deficiency/image - Copy (11) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (11).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (12) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (12).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (13) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (13).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (14) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (14).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (15) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (15).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (16).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (17).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (2) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (3) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (3).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (4) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (4).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (5) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (5).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (6) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (6).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (7) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (7).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (8).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (9) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (9).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (10) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (10).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (11) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (11).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (12) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (12).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (13) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (13).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (14) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (14).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (15).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (16) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (16).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (17).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (18).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (19).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (2) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (20).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (21).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (22).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (23).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (24).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (3) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (3).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (4) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (4).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (5) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (5).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (6) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (6).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (7).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (8) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (8).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (9) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy (9).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10 - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-10.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (10) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (10).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (11) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (11).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (12) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (12).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (13) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (13).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (14).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (15) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (15).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (16) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (16).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (17).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (18).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (19).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (2) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (20).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (21).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (22).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (23).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (24).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (3) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (3).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (4) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (4).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (5) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (5).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (6).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (7) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (7).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (8) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (8).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (9) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy (9).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11 - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-11.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (10) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (10).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (11) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (11).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (12) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (12).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (13).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (14) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (14).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (15) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (15).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (16) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (16).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (17).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (18).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (19).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (2) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (20).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (21).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (22).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (23).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (24).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (3) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (3).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (4) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (4).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (5).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (6) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (6).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (7) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (7).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (8) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (8).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (9) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy (9).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12 - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-12.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (10) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (10).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (11) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (11).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (12).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (13) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (13).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (14) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (14).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (15) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (15).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (16) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (16).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (17).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (18).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (19).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (2) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (2).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (20).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (21).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (22).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (23).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (24).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (3) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (3).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (4).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image-13 - Copy (5) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
